rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
85,Italy,ITA,19.9,3.0,50.0,18.0,8350.0,9160.0,2.0,31.0,25.0,1.4,26.35,23.7,Italy,167.0,120.0,151.0
88,Somalia,SOM,8.3,2.9,38.0,16.0,632.0,1889.0,,,12.1,3.1,6.05,18.01,Somalia,243.0,,226.0
88,Togo,TGO,8.4,2.9,34.0,13.0,315.0,847.0,4.4,20.0,12.3,3.1,6.02,18.56,Togo,258.0,206.0,242.0
88,Sierra Leone,SLE,8.7,2.9,24.0,8.0,211.0,434.0,4.2,20.0,12.5,2.9,5.75,19.25,Sierra Leone,238.0,186.0,221.0
91,China,CHN,6.2,2.8,41.0,9.0,58200.0,124870.0,5.4,18.0,9.8,3.9,9.53,10.06,China,116.0,72.0,101.0
91,Guinea,GIN,7.7,2.8,31.0,11.0,372.0,1050.0,4.4,19.0,11.6,2.9,5.67,16.97,Guinea,154.0,107.0,138.0
91,Zambia,ZMB,8.1,2.8,32.0,12.0,580.0,1800.0,3.4,16.0,11.9,3.0,5.41,18.06,Zambia,277.0,223.0,261.0
91,Senegal,SEN,8.8,2.8,32.0,11.0,568.0,1347.0,3.8,19.0,12.6,2.8,5.97,18.59,Senegal,235.0,183.0,218.0
95,Kenya,KEN,7.1,2.7,37.0,14.0,2139.0,5650.0,4.6,18.0,10.7,3.3,4.46,16.79,Kenya,172.0,125.0,156.0
95,Russia,RUS,23.1,2.7,62.0,25.0,26810.0,29180.0,1.4,32.0,27.5,1.1,24.32,30.1,Russian Federation,227.0,176.0,210.0
97,Laos,LAO,5.3,2.6,35.0,9.0,218.0,554.0,6.1,17.0,8.4,4.2,6.16,10.65,Lao PDR,176.0,129.0,160.0
97,Myanmar,MMR,5.8,2.6,30.0,8.0,1990.0,3660.0,5.5,16.0,8.9,3.9,6.46,11.17,Myanmar,200.0,152.0,183.0
99,Burkina Faso,BFA,5.6,2.5,24.0,8.0,380.0,1224.0,5.6,16.0,8.5,3.8,4.11,12.71,Burkina Faso,107.0,63.0,92.0
99,Rwanda,RWA,5.8,2.5,21.0,5.0,173.0,601.0,5.4,17.0,9.1,3.7,3.17,14.61,Rwanda,228.0,177.0,211.0
99,Democratic Republic of Congo,COD,6.7,2.5,24.0,7.0,1800.0,4980.0,4.7,17.0,,,,,Democratic Republic of the Congo,,83.0,112.0
99,Central African Republic,CAF,7.5,2.5,26.0,10.0,127.0,330.0,4.0,16.0,10.8,3.0,5.6,15.81,Central African Republic,113.0,69.0,98.0
103,Mozambique,MOZ,7.2,2.4,30.0,11.0,851.0,2580.0,4.6,19.0,10.5,3.0,5.02,15.53,Mozambique,199.0,151.0,182.0
104,Afghanistan,AFG,5.5,2.3,54.0,21.0,1830.0,6210.0,5.2,15.0,8.0,3.6,5.05,11.66,Afghanistan,79.0,38.0,64.0
105,Sri Lanka,LKA,5.2,2.2,43.0,12.0,1058.0,2500.0,5.1,14.0,8.0,3.7,4.58,11.03,Sri Lanka,247.0,195.0,231.0
105,Madagascar,MDG,5.3,2.2,19.0,5.0,335.0,1100.0,5.0,14.0,8.0,3.6,4.58,11.39,Madagascar,184.0,137.0,168.0
105,Burundi,BDI,5.4,2.2,18.0,6.0,173.0,507.0,5.0,15.0,8.3,3.4,3.23,13.11,Burundi,108.0,64.0,93.0
105,Malawi,MWI,5.8,2.2,27.0,9.0,406.0,1315.0,4.8,15.0,8.8,3.3,3.38,13.8,Malawi,185.0,138.0,169.0
105,Chad,TCD,6.1,2.2,24.0,7.0,317.0,910.0,4.6,15.0,9.0,3.1,4.67,13.21,Chad,114.0,70.0,99.0
105,Philippines,PHL,6.4,2.2,38.0,10.0,3990.0,9070.0,4.6,17.0,9.3,3.0,7.9,10.68,Philippines,221.0,170.0,204.0
