member_state,wiki_link,date_of_admission,source_url,access_date,channel
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,16 September 1980,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Samoa,https://en.wikipedia.org/wiki/Samoa,15 December 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
San Marino,https://en.wikipedia.org/wiki/San_Marino,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Sao Tome and Principe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,16 September 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Senegal,https://en.wikipedia.org/wiki/Senegal,28 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Serbia,https://en.wikipedia.org/wiki/Serbia,1 November 2000,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Seychelles,https://en.wikipedia.org/wiki/Seychelles,21 September 1976,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone,27 September 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Singapore,https://en.wikipedia.org/wiki/Singapore,21 September 1965,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Slovakia,https://en.wikipedia.org/wiki/Slovakia,19 January 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Slovenia,https://en.wikipedia.org/wiki/Slovenia,22 May 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands,19 September 1978,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Somalia,https://en.wikipedia.org/wiki/Somalia,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
South Africa,https://en.wikipedia.org/wiki/South_Africa,7 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
South Sudan,https://en.wikipedia.org/wiki/South_Sudan,14 July 2011,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Spain,https://en.wikipedia.org/wiki/Spain,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Sudan,https://en.wikipedia.org/wiki/Sudan,12 November 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Suriname,https://en.wikipedia.org/wiki/Suriname,4 December 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Sweden,https://en.wikipedia.org/wiki/Sweden,19 November 1946,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Switzerland,https://en.wikipedia.org/wiki/Switzerland,10 September 2002,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Syrian Arab Republic,https://en.wikipedia.org/wiki/Syria,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,firecrawl_search
