Entity,Code,Year,obesity_pct,ncd_country,ncd_men_pct,ncd_women_pct,ncd_mean_MW_pct,abs_diff_pp
Cuba,CUB,2006,19.9,Cuba,14.373982184804602,27.0021549082772,20.6880685465409,0.7880685465409023
Spain,ESP,2006,20.3,Spain,20.692905668290702,21.4790586775958,21.08598217294325,0.7859821729432497
Cyprus,CYP,2016,21.8,Cyprus,22.6509097427845,22.518509913487,22.58470982813575,0.7847098281357496
Argentina,ARG,2006,23.4,Argentina,22.7666508213835,25.601968206478197,24.18430951393085,0.7843095139308502
Slovakia,SVK,2016,20.5,Slovakia,21.7533457889026,20.801355957916602,21.277350873409603,0.7773508734096026
Iceland,ISL,2016,21.9,Iceland,25.1098847623065,20.241800181261798,22.67584247178415,0.7758424717841521
Austria,AUT,2016,20.1,Austria,22.648338342545,19.0987220955795,20.87353021906225,0.7735302190622484
Israel,ISR,2006,23.0,Israel,22.1928590276351,25.3540315895465,23.7734453085908,0.7734453085908015
Italy,ITA,2016,19.9,Italy,20.9368617678711,20.4096729364121,20.6732673521416,0.7732673521416018
Venezuela,VEN,2006,21.8,Venezuela,18.9173492656278,26.2188030219138,22.5680761437708,0.7680761437707986
Sweden,SWE,2016,20.6,Sweden,23.8850217147386,18.8322490563625,21.35863538555055,0.7586353855505479
Suriname,SUR,2006,21.6,Suriname,14.7415963458934,29.9713157660407,22.35645605596705,0.7564560559670497
Peru,PER,2016,19.7,Peru,15.766924287323999,25.1425484102458,20.4547363487849,0.754736348784899
Dominican Republic,DOM,2006,20.0,Dominican Republic,13.8938882487636,27.615101908344098,20.75449507855385,0.7544950785538482
Grenada,GRD,2016,21.3,Grenada,13.8781114889437,30.2193771106187,22.0487442997812,0.748744299781201
Chile,CHL,2006,23.3,Chile,20.6294896959936,27.464091006365297,24.046790351179446,0.7467903511794454
Finland,FIN,2006,18.5,Finland,19.8104640921982,18.664961198378897,19.237712645288546,0.7377126452885463
Brazil,BRA,2016,22.1,Brazil,19.2358597359804,26.435071841732398,22.8354657888564,0.7354657888563985
Estonia,EST,2016,21.2,Estonia,21.125116254851502,22.739632081227303,21.932374168039402,0.7323741680394029
